Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
77,H,P,right,right,yes,8,0.620333229,2015-06-28T22:37:12.483,1
77,D,O,right,right,yes,11,1.230435314,2015-06-28T22:37:14.924,2
77,Y,V,left,left,yes,3,1.184713109,2015-06-28T22:37:17.332,3
77,R,J,left,right,no,8,16.469101729,2015-06-28T22:37:35.036,4
77,I,W,right,right,yes,14,0.614401946,2015-06-28T22:37:36.795,5
77,Q,S,right,left,no,2,0.593237481,2015-06-28T22:37:38.596,6
77,W,A,left,left,yes,22,0.468205836,2015-06-28T22:37:40.295,7
77,F,M,right,right,yes,7,0.871659323,2015-06-28T22:37:42.402,8
77,O,I,left,left,yes,6,1.447403578,2015-06-28T22:37:45.086,9
77,L,A,left,left,yes,11,0.632402346,2015-06-28T22:37:46.950,10
77,X,H,left,left,yes,16,0.672077378,2015-06-28T22:37:48.867,11
77,A,T,right,right,yes,19,0.509004263,2015-06-28T22:37:50.578,12
77,I,J,right,right,yes,1,1.542827123,2015-06-28T22:37:53.336,13
77,V,M,left,left,yes,9,0.654777442,2015-06-28T22:37:55.220,14
77,X,F,left,left,yes,18,0.641460063,2015-06-28T22:37:57.075,15
77,I,L,right,right,yes,3,1.155873896,2015-06-28T22:37:59.441,16
77,U,L,left,left,yes,9,0.59452081,2015-06-28T22:38:01.260,17
77,Q,I,left,left,yes,8,0.906835644,2015-06-28T22:38:03.367,18
77,S,O,left,left,yes,4,8.176360988,2015-06-28T22:38:12.770,19
77,D,J,right,right,yes,6,0.76635572,2015-06-28T22:38:14.749,20
77,N,O,right,right,yes,1,0.765672788,2015-06-28T22:38:16.710,21
77,J,Z,right,right,yes,16,0.496310801,2015-06-28T22:38:18.419,22
77,P,O,left,right,no,1,0.713037023,2015-06-28T22:38:20.328,23
77,W,I,left,right,no,14,0.117262389,2015-06-28T22:38:21.666,24
77,S,F,left,right,no,13,0.257064514,2015-06-28T22:38:23.123,25
77,B,H,right,right,yes,6,0.155902547,2015-06-28T22:38:24.494,26
77,X,Q,left,left,yes,7,0.759535384,2015-06-28T22:38:26.467,27
77,D,P,right,right,yes,12,0.71853939,2015-06-28T22:38:28.399,28
77,M,E,left,left,yes,8,1.446596632,2015-06-28T22:38:31.099,29
77,H,S,right,right,yes,11,0.958388213,2015-06-28T22:38:33.250,30
77,X,B,left,left,yes,22,0.659377502,2015-06-28T22:38:35.134,31
77,V,R,left,left,yes,4,0.243250224,2015-06-28T22:38:36.616,32
77,Y,C,left,left,yes,22,0.85802977,2015-06-28T22:38:38.701,33
77,R,Z,right,right,yes,8,0.475398213,2015-06-28T22:38:40.392,34
77,W,G,left,right,no,16,0.576060276,2015-06-28T22:38:42.192,35
77,F,X,right,right,yes,18,0.006286649,2015-06-28T22:38:43.394,36
77,B,Z,right,right,yes,24,0.104962778,2015-06-28T22:38:44.710,37
77,K,H,left,right,no,3,0.117794794,2015-06-28T22:38:46.019,38
77,H,A,left,left,yes,7,0.157545089,2015-06-28T22:38:47.344,39
77,O,L,left,left,yes,3,0.098341721,2015-06-28T22:38:48.629,40
77,R,W,right,right,yes,5,0.849426628,2015-06-29T22:41:29.521,1
77,K,Z,right,right,yes,15,1.362833384,2015-06-29T22:41:32.086,2
77,Z,M,left,left,yes,13,0.891862893,2015-06-29T22:41:34.182,3
77,B,Y,right,right,yes,23,0.88607786,2015-06-29T22:41:36.265,4
77,O,T,right,right,yes,5,1.471768027,2015-06-29T22:41:38.964,5
77,U,M,left,left,yes,8,0.947186767,2015-06-29T22:41:41.107,6
77,S,G,left,left,yes,12,0.76855547,2015-06-29T22:41:43.096,7
